"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (transactions) (BSI.M.U2.N.V.M10.X.4.U2.2300.Z01.E)"
"2008-02-29","2008Feb","-46889"
"2008-03-31","2008Mar","54533"
"2008-04-30","2008Apr","-15704"
"2008-05-31","2008May","28785"
"2008-06-30","2008Jun","48125"
"2008-07-31","2008Jul","-77685"
"2008-08-31","2008Aug","-52922"
"2008-09-30","2008Sep","83481"
"2008-10-31","2008Oct","56034"
"2008-11-30","2008Nov","25647"
"2008-12-31","2008Dec","74646"
"2009-01-31","2009Jan","21841"
"2009-02-28","2009Feb","3849"
"2009-03-31","2009Mar","33686"
"2009-04-30","2009Apr","82676"
"2009-05-31","2009May","27347"
"2009-06-30","2009Jun","90710"
"2009-07-31","2009Jul","-673"
"2009-08-31","2009Aug","7399"
"2009-09-30","2009Sep","62622"
"2009-10-31","2009Oct","55580"
"2009-11-30","2009Nov","38601"
"2009-12-31","2009Dec","80738"
"2010-01-31","2010Jan","-2195"
"2010-02-28","2010Feb","-17196"
"2010-03-31","2010Mar","5394"
"2010-04-30","2010Apr","80495"
"2010-05-31","2010May","30583"
"2010-06-30","2010Jun","44088"
"2010-07-31","2010Jul","-11659"
"2010-08-31","2010Aug","-35178"
"2010-09-30","2010Sep","8315"
"2010-10-31","2010Oct","9073"
"2010-11-30","2010Nov","10431"
"2010-12-31","2010Dec","66932"
"2011-01-31","2011Jan","-45033"
"2011-02-28","2011Feb","-33509"
"2011-03-31","2011Mar","16999"
"2011-04-30","2011Apr","40195"
"2011-05-31","2011May","-15858"
"2011-06-30","2011Jun","55379"
"2011-07-31","2011Jul","-20466"
"2011-08-31","2011Aug","-17137"
"2011-09-30","2011Sep","18826"
"2011-10-31","2011Oct","10837"
"2011-11-30","2011Nov","15513"
"2011-12-31","2011Dec","80057"
"2012-01-31","2012Jan","-49164"
"2012-02-29","2012Feb","-31366"
"2012-03-31","2012Mar","49252"
"2012-04-30","2012Apr","3713"
"2012-05-31","2012May","39110"
